ID,Prob1
198, 0.24
199, 0.38
200, 0.24
201, 0.67
202, 0.22
203, 0.50
204, 0.66
205, 0.22
206, 0.22
207, 0.53
208, 0.24
209, 0.25
210, 0.29
211, 0.78
212, 0.22
213, 0.25
214, 0.35
215, 0.57
216, 0.25
217, 0.64
218, 0.24
219, 0.69
220, 0.22
221, 0.30
222, 0.43
223, 0.37
224, 0.68
225, 0.22
226, 0.73
227, 0.48
228, 0.35
229, 0.24
230, 0.24
231, 0.22
232, 0.31
233, 0.78
234, 0.74
235, 0.53
236, 0.61
237, 0.35
238, 0.24
239, 0.39
240, 0.71
241, 0.43
242, 0.71
243, 0.22
244, 0.76
245, 0.38
246, 0.28
247, 0.67
248, 0.25
249, 0.25
250, 0.52
251, 0.29
252, 0.31
253, 0.43
254, 0.22
255, 0.24
256, 0.22
257, 0.25
258, 0.24
259, 0.22
260, 0.68
261, 0.73
262, 0.22
263, 0.78
264, 0.22
265, 0.57
266, 0.24
267, 0.59
268, 0.53
269, 0.22
270, 0.32
271, 0.62
272, 0.22
273, 0.37
274, 0.24
275, 0.69
276, 0.29
277, 0.22
278, 0.54
279, 0.74
280, 0.75
281, 0.71
282, 0.22
283, 0.69
284, 0.69
285, 0.63
286, 0.32
287, 0.22
288, 0.39
289, 0.22
290, 0.22
291, 0.33
292, 0.22
293, 0.71
294, 0.60
295, 0.60
296, 0.68
297, 0.67
298, 0.61
299, 0.71
300, 0.78
301, 0.22
302, 0.23
303, 0.22
304, 0.22
305, 0.72
306, 0.43
307, 0.28
308, 0.69
309, 0.27
310, 0.23
311, 0.25
312, 0.55
313, 0.55
314, 0.31
315, 0.24
316, 0.74
317, 0.28
318, 0.22
319, 0.29
320, 0.36
321, 0.45
322, 0.45
323, 0.59
324, 0.23
325, 0.74
326, 0.54
327, 0.37
328, 0.22
329, 0.75
330, 0.31
331, 0.22
332, 0.22
333, 0.66
334, 0.71
335, 0.36
336, 0.32
337, 0.22
338, 0.39
339, 0.75
340, 0.26
341, 0.69
342, 0.22
343, 0.23
344, 0.68
345, 0.25
346, 0.25
347, 0.52
348, 0.25
349, 0.22
350, 0.25
351, 0.49
352, 0.44
353, 0.71
354, 0.22
355, 0.74
356, 0.78
357, 0.66
358, 0.67
359, 0.50
360, 0.22
361, 0.25
362, 0.37
363, 0.78
364, 0.22
365, 0.25
366, 0.27
367, 0.24
368, 0.22
369, 0.31
370, 0.71
371, 0.54
372, 0.25
373, 0.43
374, 0.37
375, 0.48
376, 0.50
377, 0.71
378, 0.38
379, 0.35
380, 0.27
381, 0.29
382, 0.78
383, 0.72
384, 0.22
385, 0.67
386, 0.40
387, 0.31
388, 0.30
389, 0.32
390, 0.34
391, 0.43
392, 0.22
393, 0.25
394, 0.29
395, 0.22
396, 0.25
397, 0.66
398, 0.71
399, 0.24
400, 0.78
401, 0.22
402, 0.27
403, 0.57
404, 0.45
405, 0.26
406, 0.43
407, 0.67
408, 0.36
409, 0.54
410, 0.55
411, 0.22
412, 0.22
413, 0.25
414, 0.25
415, 0.25
416, 0.54
417, 0.29
418, 0.66
419, 0.22
420, 0.31
421, 0.78
422, 0.39
423, 0.52
424, 0.78
425, 0.56
426, 0.22
427, 0.22
428, 0.32
429, 0.25
430, 0.74
431, 0.31
432, 0.71
433, 0.35
434, 0.53
435, 0.64
436, 0.64
437, 0.65
438, 0.26
439, 0.22
440, 0.28
441, 0.25
442, 0.28
443, 0.78
444, 0.67
445, 0.25
446, 0.56
447, 0.33
448, 0.78
449, 0.67
450, 0.25
451, 0.22
452, 0.22
453, 0.43
454, 0.43
455, 0.64
456, 0.51
457, 0.22
458, 0.75
459, 0.22
460, 0.73
461, 0.66
462, 0.22
463, 0.24
464, 0.35
465, 0.56
466, 0.22
467, 0.22
468, 0.78
469, 0.32
470, 0.42
471, 0.33
472, 0.22
473, 0.23
474, 0.59
475, 0.28
476, 0.38
477, 0.38
478, 0.25
479, 0.74
480, 0.53
481, 0.65
482, 0.25
483, 0.68
484, 0.23
485, 0.64
486, 0.78
487, 0.25
488, 0.74
489, 0.31
490, 0.33
491, 0.39
492, 0.68
493, 0.71
494, 0.53
495, 0.22
496, 0.46
497, 0.78
498, 0.29
499, 0.25
500, 0.50
501, 0.25
502, 0.43
503, 0.65
504, 0.51
505, 0.38
506, 0.65
507, 0.29
508, 0.35
509, 0.22
510, 0.32
511, 0.44
512, 0.28
513, 0.27
514, 0.75
515, 0.43
516, 0.51
517, 0.75
518, 0.23
519, 0.26
520, 0.42
521, 0.55
522, 0.22
523, 0.30
524, 0.31
525, 0.23
526, 0.24
527, 0.22
528, 0.58
529, 0.74
530, 0.22
531, 0.72
532, 0.24
533, 0.24
534, 0.27
535, 0.22
536, 0.22
537, 0.25
538, 0.22
539, 0.29
540, 0.38
541, 0.72
542, 0.65
543, 0.46
544, 0.35
545, 0.60
546, 0.56
547, 0.37
548, 0.23
549, 0.78
550, 0.67
551, 0.29
552, 0.68
553, 0.22
554, 0.22
555, 0.30
556, 0.52
557, 0.69
558, 0.38
559, 0.22
560, 0.53
561, 0.31
562, 0.53
563, 0.34
564, 0.24
565, 0.35
566, 0.35
567, 0.75
568, 0.78
569, 0.22
570, 0.22
571, 0.30
572, 0.25
573, 0.57
574, 0.25
575, 0.26
576, 0.64
577, 0.25
578, 0.56
579, 0.46
580, 0.67
581, 0.74
582, 0.28
583, 0.43
584, 0.22
585, 0.78
586, 0.23
587, 0.75
588, 0.65
589, 0.68
590, 0.31
591, 0.22
592, 0.69
593, 0.22
594, 0.26
595, 0.22
596, 0.25
597, 0.78
598, 0.22
599, 0.75
600, 0.22
601, 0.59
602, 0.23
603, 0.25
604, 0.52
605, 0.24
606, 0.31
607, 0.32
608, 0.22
609, 0.78
610, 0.22
611, 0.25
612, 0.78
613, 0.55
614, 0.78
615, 0.27
616, 0.29
617, 0.78
618, 0.22
619, 0.43
620, 0.71
621, 0.64
622, 0.67
623, 0.46
624, 0.30
625, 0.55
626, 0.71
627, 0.29
628, 0.27
629, 0.22
630, 0.78
631, 0.22
632, 0.25
633, 0.25
634, 0.31
635, 0.35
636, 0.57
637, 0.53
638, 0.22
639, 0.22
640, 0.60
641, 0.30
642, 0.33
643, 0.51
644, 0.46
645, 0.25
646, 0.75
647, 0.24
648, 0.22
649, 0.22
650, 0.25
651, 0.34
652, 0.22
653, 0.46
654, 0.40
655, 0.73
656, 0.24
657, 0.27
658, 0.74
659, 0.38
660, 0.78
661, 0.61
662, 0.56
663, 0.35
664, 0.66
665, 0.32
666, 0.32
667, 0.55
668, 0.74
669, 0.29
670, 0.22
671, 0.22
672, 0.24
673, 0.53
674, 0.34
675, 0.78
676, 0.22
677, 0.25
678, 0.25
679, 0.52
680, 0.77
681, 0.28
682, 0.32
683, 0.29
684, 0.78
685, 0.26
686, 0.38
687, 0.27
688, 0.72
689, 0.22
690, 0.78
691, 0.59
692, 0.64
693, 0.66
694, 0.29
695, 0.40
696, 0.78
697, 0.24
698, 0.58
699, 0.31
700, 0.22
701, 0.31
702, 0.24
703, 0.24
704, 0.31
705, 0.25
706, 0.22
707, 0.24
708, 0.58
709, 0.22
710, 0.24
711, 0.53
712, 0.76
713, 0.22
714, 0.65
715, 0.66
716, 0.22
717, 0.29
718, 0.78
719, 0.62
720, 0.69
721, 0.65
722, 0.45
723, 0.58
724, 0.28
725, 0.50
726, 0.44
727, 0.25
728, 0.22
729, 0.38
730, 0.34
731, 0.70
732, 0.62
733, 0.34
734, 0.26
735, 0.22
736, 0.32
737, 0.24
738, 0.23
739, 0.75
740, 0.58
741, 0.22
742, 0.22
743, 0.67
744, 0.35
745, 0.78
746, 0.24
747, 0.28
748, 0.78
749, 0.22
750, 0.34
751, 0.54
752, 0.25
753, 0.38
754, 0.52
755, 0.67
756, 0.72
757, 0.22
758, 0.25
759, 0.22
760, 0.69
761, 0.29
762, 0.74
763, 0.63
764, 0.22
765, 0.74
766, 0.78
767, 0.22
768, 0.22
769, 0.26
770, 0.59
771, 0.78
772, 0.35
773, 0.23
774, 0.62
775, 0.78
776, 0.66
777, 0.54
778, 0.63
779, 0.33
780, 0.74
781, 0.57
782, 0.62
783, 0.52
784, 0.31
785, 0.24
786, 0.25
787, 0.75
788, 0.68
789, 0.22
790, 0.71
791, 0.46
792, 0.78
793, 0.22
794, 0.38
795, 0.64
796, 0.70
797, 0.35
798, 0.25
799, 0.22
800, 0.50
801, 0.24
802, 0.67
803, 0.39
804, 0.24
805, 0.22
806, 0.51
807, 0.68
808, 0.78
809, 0.22
810, 0.42
811, 0.39
812, 0.22
813, 0.75
814, 0.39
815, 0.30
816, 0.75
817, 0.34
818, 0.34
819, 0.65
820, 0.64
821, 0.56
822, 0.33
823, 0.52
824, 0.70
825, 0.25
826, 0.46
827, 0.43
828, 0.77
829, 0.52
830, 0.67
831, 0.22
832, 0.60
833, 0.25
834, 0.71
835, 0.70
836, 0.40
837, 0.48
838, 0.46
839, 0.22
840, 0.61
841, 0.78
842, 0.71
843, 0.22
844, 0.57
845, 0.22
846, 0.22
847, 0.26
848, 0.29
849, 0.22
850, 0.25
851, 0.50
852, 0.68
853, 0.70
854, 0.41
855, 0.30
856, 0.25
857, 0.22
858, 0.22
859, 0.28
860, 0.22
861, 0.29
862, 0.24
863, 0.33
864, 0.36
865, 0.25
866, 0.37
867, 0.73
868, 0.78
869, 0.56
870, 0.71
871, 0.69
872, 0.78
873, 0.25
874, 0.35
875, 0.67
876, 0.75
877, 0.34
878, 0.24
879, 0.24
880, 0.22
881, 0.61
882, 0.25
883, 0.25
884, 0.35
885, 0.26
886, 0.23
887, 0.22
888, 0.22
889, 0.24
890, 0.22
891, 0.37
892, 0.29
893, 0.52
894, 0.35
895, 0.22
896, 0.56
897, 0.24
898, 0.37
899, 0.53
900, 0.26
901, 0.78
902, 0.71
903, 0.42
904, 0.56
905, 0.30
906, 0.35
907, 0.22
908, 0.25
909, 0.25
910, 0.66
911, 0.25
912, 0.22
913, 0.36
914, 0.22
915, 0.66
916, 0.22
917, 0.74
918, 0.24
919, 0.74
920, 0.65
921, 0.62
922, 0.22
923, 0.78
924, 0.74
925, 0.31
926, 0.31
927, 0.70
928, 0.43
929, 0.28
930, 0.51
931, 0.31
932, 0.24
933, 0.22
934, 0.22
935, 0.50
936, 0.59
937, 0.22
938, 0.39
939, 0.27
940, 0.22
941, 0.42
942, 0.25
943, 0.60
944, 0.22
945, 0.22
946, 0.24
947, 0.78
948, 0.78
949, 0.40
950, 0.22
951, 0.75
952, 0.67
953, 0.31
954, 0.27
955, 0.78
956, 0.43
957, 0.22
958, 0.22
959, 0.27
960, 0.70
961, 0.25
962, 0.78
963, 0.25
964, 0.22
965, 0.24
966, 0.69
967, 0.30
968, 0.37
969, 0.22
970, 0.22
971, 0.28
972, 0.24
973, 0.22
974, 0.53
975, 0.73
976, 0.68
977, 0.22
978, 0.22
979, 0.52
980, 0.57
981, 0.69
982, 0.75
983, 0.78
984, 0.43
985, 0.22
986, 0.22
987, 0.30
988, 0.22
989, 0.60
990, 0.71
991, 0.71
992, 0.67
993, 0.59
994, 0.67
995, 0.50
996, 0.75
997, 0.67
998, 0.22
999, 0.55
1000, 0.25
1001, 0.28
1002, 0.71
1003, 0.60
1004, 0.22
1005, 0.50
1006, 0.39
1007, 0.57
1008, 0.25
1009, 0.22
1010, 0.22
1011, 0.64
1012, 0.55
1013, 0.78
1014, 0.60
1015, 0.59
1016, 0.36
1017, 0.67
1018, 0.29
1019, 0.35
1020, 0.60
1021, 0.59
1022, 0.50
1023, 0.27
1024, 0.78
1025, 0.23
1026, 0.24
1027, 0.25
1028, 0.22
1029, 0.22
1030, 0.40
1031, 0.22
1032, 0.29
1033, 0.22
1034, 0.25
1035, 0.66
1036, 0.66
1037, 0.78
1038, 0.30
1039, 0.22
1040, 0.24
1041, 0.22
1042, 0.22
1043, 0.66
1044, 0.22
1045, 0.71
1046, 0.28
1047, 0.22
1048, 0.75
1049, 0.25
1050, 0.78
1051, 0.22
1052, 0.53
1053, 0.34
1054, 0.64
1055, 0.22
1056, 0.78
1057, 0.66
1058, 0.78
1059, 0.25
1060, 0.29
1061, 0.22
1062, 0.67
1063, 0.25
1064, 0.26
1065, 0.30
1066, 0.30
1067, 0.64
1068, 0.62
1069, 0.67
1070, 0.66
1071, 0.46
1072, 0.24
1073, 0.60
1074, 0.64
1075, 0.22
1076, 0.46
1077, 0.65
1078, 0.46
1079, 0.25
1080, 0.31
1081, 0.25
1082, 0.23
1083, 0.49
1084, 0.62
1085, 0.27
1086, 0.22
1087, 0.43
1088, 0.24
1089, 0.78
1090, 0.22
1091, 0.22
1092, 0.24
1093, 0.22
1094, 0.71
1095, 0.51
1096, 0.74
1097, 0.22
1098, 0.33
1099, 0.67
1100, 0.22
1101, 0.23
1102, 0.53
1103, 0.64
1104, 0.67
1105, 0.78
1106, 0.24
1107, 0.32
1108, 0.66
1109, 0.27
1110, 0.22
1111, 0.22
1112, 0.27
1113, 0.74
1114, 0.73
1115, 0.22
1116, 0.74
1117, 0.78
1118, 0.52
1119, 0.22
1120, 0.50
1121, 0.61
1122, 0.37
1123, 0.70
1124, 0.22
1125, 0.53
1126, 0.74
1127, 0.74
1128, 0.66
1129, 0.51
1130, 0.62
1131, 0.53
1132, 0.43
1133, 0.52
1134, 0.22
1135, 0.32
1136, 0.70
1137, 0.23
1138, 0.40
1139, 0.24
1140, 0.35
1141, 0.31
1142, 0.71
1143, 0.56
1144, 0.27
1145, 0.67
1146, 0.24
1147, 0.31
1148, 0.37
1149, 0.63
1150, 0.49
1151, 0.73
1152, 0.22
1153, 0.67
1154, 0.28
1155, 0.66
1156, 0.22
1157, 0.34
1158, 0.53
1159, 0.74
1160, 0.67
1161, 0.62
1162, 0.34
1163, 0.60
1164, 0.25
1165, 0.23
1166, 0.25
1167, 0.74
1168, 0.39
1169, 0.62
1170, 0.22
1171, 0.22
1172, 0.73
1173, 0.22
1174, 0.24
1175, 0.22
1176, 0.22
1177, 0.31
1178, 0.28
1179, 0.24
1180, 0.38
1181, 0.73
1182, 0.40
1183, 0.43
1184, 0.28
1185, 0.71
1186, 0.22
1187, 0.22
1188, 0.67
1189, 0.37
1190, 0.41
1191, 0.22
1192, 0.38
1193, 0.37
1194, 0.68
1195, 0.22
1196, 0.63
1197, 0.22
1198, 0.78
1199, 0.41
1200, 0.23
1201, 0.32
1202, 0.60
1203, 0.28
1204, 0.25
1205, 0.73
1206, 0.22
1207, 0.39
1208, 0.74
1209, 0.39
1210, 0.34
1211, 0.57
1212, 0.39
1213, 0.22
1214, 0.25
1215, 0.24
1216, 0.39
1217, 0.71
1218, 0.22
1219, 0.23
1220, 0.22
1221, 0.66
1222, 0.22
1223, 0.61
1224, 0.59
1225, 0.78
1226, 0.78
1227, 0.60
1228, 0.38
1229, 0.33
1230, 0.63
1231, 0.39
1232, 0.22
1233, 0.33
1234, 0.22
1235, 0.75
1236, 0.74
1237, 0.43
1238, 0.68
1239, 0.67
1240, 0.36
1241, 0.22
1242, 0.74
1243, 0.43
1244, 0.32
1245, 0.24
1246, 0.24
1247, 0.22
1248, 0.66
1249, 0.22
1250, 0.39
1251, 0.66
1252, 0.62
1253, 0.54
1254, 0.22
1255, 0.22
1256, 0.74
1257, 0.31
1258, 0.73
1259, 0.76
1260, 0.27
1261, 0.22
1262, 0.78
1263, 0.31
1264, 0.26
1265, 0.22
1266, 0.66
1267, 0.22
1268, 0.68
1269, 0.74
1270, 0.43
1271, 0.22
1272, 0.22
1273, 0.29
1274, 0.24
1275, 0.25
1276, 0.78
1277, 0.30
1278, 0.24
1279, 0.42
1280, 0.39
1281, 0.25
1282, 0.78
1283, 0.30
1284, 0.59
1285, 0.65
1286, 0.22
1287, 0.62
1288, 0.22
1289, 0.29
1290, 0.40
1291, 0.78
1292, 0.59
1293, 0.69
1294, 0.22
1295, 0.23
1296, 0.53
1297, 0.59
1298, 0.65
1299, 0.53
1300, 0.22
1301, 0.25
1302, 0.22
1303, 0.22
1304, 0.26
1305, 0.54
1306, 0.44
1307, 0.54
1308, 0.24
1309, 0.59
1310, 0.25
1311, 0.27
1312, 0.40
1313, 0.62
1314, 0.63
1315, 0.28
1316, 0.22
1317, 0.51
1318, 0.69
1319, 0.22
1320, 0.50
1321, 0.25
1322, 0.72
1323, 0.78
1324, 0.68
1325, 0.64
1326, 0.22
1327, 0.73
1328, 0.62
1329, 0.43
1330, 0.32
1331, 0.22
1332, 0.23
1333, 0.56
1334, 0.22
1335, 0.27
1336, 0.22
1337, 0.22
1338, 0.78
1339, 0.52
1340, 0.30
1341, 0.25
1342, 0.50
1343, 0.78
1344, 0.25
1345, 0.22
1346, 0.22
1347, 0.78
1348, 0.22
1349, 0.28
1350, 0.22
1351, 0.35
1352, 0.24
1353, 0.35
1354, 0.38
1355, 0.22
1356, 0.22
1357, 0.24
1358, 0.58
1359, 0.22
1360, 0.22
1361, 0.78
1362, 0.37
1363, 0.25
1364, 0.24
1365, 0.22
1366, 0.49
1367, 0.27
1368, 0.22
1369, 0.33
1370, 0.74
1371, 0.24
1372, 0.22
1373, 0.30
1374, 0.24
1375, 0.34
1376, 0.22
1377, 0.78
1378, 0.22
1379, 0.31
1380, 0.67
1381, 0.22
1382, 0.38
1383, 0.50
1384, 0.22
1385, 0.68
1386, 0.22
1387, 0.66
1388, 0.67
1389, 0.40
1390, 0.23
1391, 0.22
1392, 0.51
1393, 0.22
1394, 0.22
1395, 0.37
1396, 0.43
1397, 0.78
1398, 0.50
1399, 0.54
1400, 0.22
1401, 0.74
1402, 0.25
1403, 0.52
1404, 0.22
1405, 0.23
1406, 0.55
1407, 0.46
1408, 0.43
1409, 0.22
1410, 0.50
1411, 0.71
1412, 0.65
1413, 0.27
1414, 0.28
1415, 0.22
1416, 0.29
1417, 0.37
1418, 0.39
1419, 0.22
1420, 0.22
1421, 0.35
1422, 0.22
1423, 0.22
1424, 0.78
1425, 0.78
1426, 0.67
1427, 0.23
1428, 0.24
1429, 0.22
1430, 0.22
1431, 0.22
1432, 0.31
1433, 0.23
1434, 0.24
1435, 0.34
1436, 0.22
1437, 0.22
1438, 0.22
1439, 0.67
1440, 0.78
1441, 0.22
1442, 0.24
1443, 0.22
1444, 0.55
1445, 0.37
1446, 0.28
1447, 0.28
1448, 0.22
1449, 0.35
1450, 0.22
1451, 0.48
1452, 0.29
1453, 0.73
1454, 0.29
1455, 0.25
1456, 0.75
1457, 0.28
1458, 0.40
1459, 0.25
1460, 0.45
1461, 0.22
1462, 0.22
1463, 0.58
1464, 0.65
1465, 0.22
1466, 0.33
1467, 0.27
1468, 0.78
1469, 0.22
1470, 0.78
1471, 0.37
1472, 0.22
1473, 0.22
1474, 0.67
1475, 0.74
1476, 0.55
1477, 0.30
1478, 0.75
1479, 0.22
1480, 0.30
1481, 0.64
1482, 0.22
1483, 0.22
1484, 0.25
1485, 0.22
1486, 0.66
1487, 0.24
1488, 0.57
1489, 0.22
1490, 0.62
1491, 0.30
1492, 0.52
1493, 0.53
1494, 0.28
1495, 0.24
1496, 0.70
1497, 0.23
1498, 0.58
1499, 0.75
1500, 0.22
1501, 0.64
1502, 0.34
1503, 0.46
1504, 0.22
1505, 0.71
1506, 0.78
1507, 0.22
1508, 0.23
1509, 0.68
1510, 0.30
1511, 0.22
1512, 0.68
1513, 0.25
1514, 0.25
1515, 0.68
1516, 0.22
1517, 0.78
1518, 0.57
1519, 0.25
1520, 0.36
1521, 0.65
1522, 0.25
1523, 0.29
1524, 0.41
1525, 0.25
1526, 0.22
1527, 0.22
1528, 0.56
1529, 0.28
1530, 0.22
1531, 0.27
1532, 0.73
1533, 0.38
1534, 0.68
1535, 0.22
1536, 0.75
1537, 0.39
1538, 0.40
1539, 0.59
1540, 0.22
1541, 0.22
1542, 0.24
1543, 0.30
1544, 0.22
1545, 0.22
1546, 0.67
1547, 0.58
1548, 0.22
1549, 0.62
1550, 0.61
1551, 0.26
1552, 0.23
1553, 0.23
1554, 0.38
1555, 0.44
1556, 0.37
1557, 0.22
1558, 0.67
1559, 0.70
1560, 0.68
1561, 0.39
1562, 0.25
1563, 0.38
1564, 0.35
1565, 0.37
1566, 0.60
1567, 0.26
1568, 0.75
1569, 0.22
1570, 0.31
1571, 0.32
1572, 0.22
1573, 0.78
1574, 0.31
1575, 0.64
1576, 0.64
1577, 0.41
1578, 0.51
1579, 0.24
1580, 0.29
1581, 0.38
1582, 0.25
1583, 0.31
1584, 0.31
1585, 0.24
1586, 0.67
1587, 0.22
1588, 0.76
1589, 0.74
1590, 0.52
1591, 0.50
1592, 0.78
1593, 0.43
1594, 0.60
1595, 0.29
1596, 0.33
1597, 0.52
1598, 0.75
1599, 0.49
1600, 0.34
1601, 0.31
1602, 0.38
1603, 0.24
1604, 0.29
1605, 0.62
1606, 0.30
1607, 0.22
1608, 0.67
1609, 0.61
1610, 0.53
1611, 0.78
1612, 0.53
1613, 0.25
1614, 0.78
1615, 0.63
1616, 0.74
1617, 0.75
1618, 0.55
1619, 0.70
1620, 0.23
1621, 0.24
1622, 0.24
1623, 0.24
1624, 0.22
1625, 0.22
1626, 0.22
1627, 0.22
1628, 0.73
1629, 0.24
1630, 0.22
1631, 0.24
1632, 0.78
1633, 0.22
1634, 0.78
1635, 0.54
1636, 0.33
1637, 0.22
1638, 0.68
1639, 0.78
1640, 0.53
1641, 0.62
1642, 0.30
1643, 0.55
1644, 0.78
1645, 0.27
1646, 0.27
1647, 0.67
1648, 0.25
1649, 0.78
1650, 0.54
1651, 0.66
1652, 0.22
1653, 0.22
1654, 0.22
1655, 0.53
1656, 0.41
1657, 0.22
1658, 0.68
1659, 0.46
1660, 0.43
1661, 0.22
1662, 0.24
1663, 0.68
1664, 0.71
1665, 0.22
1666, 0.32
1667, 0.37
1668, 0.22
1669, 0.22
1670, 0.41
1671, 0.25
1672, 0.70
1673, 0.36
1674, 0.26
1675, 0.25
1676, 0.78
1677, 0.78
1678, 0.28
1679, 0.41
1680, 0.22
1681, 0.22
1682, 0.78
1683, 0.22
1684, 0.38
1685, 0.71
1686, 0.78
1687, 0.72
1688, 0.30
1689, 0.23
1690, 0.62
1691, 0.58
1692, 0.25
1693, 0.63
1694, 0.78
1695, 0.23
1696, 0.22
1697, 0.32
1698, 0.27
1699, 0.78
1700, 0.29
1701, 0.31
1702, 0.41
1703, 0.40
1704, 0.47
1705, 0.22
1706, 0.65
1707, 0.78
1708, 0.30
1709, 0.38
1710, 0.38
1711, 0.32
1712, 0.22
1713, 0.53
1714, 0.27
1715, 0.28
1716, 0.69
1717, 0.40
1718, 0.25
1719, 0.28
1720, 0.30
1721, 0.22
1722, 0.66
1723, 0.75
1724, 0.34
1725, 0.56
1726, 0.67
1727, 0.78
1728, 0.67
1729, 0.72
1730, 0.34
1731, 0.39
1732, 0.24
1733, 0.68
1734, 0.78
1735, 0.53
1736, 0.65
1737, 0.65
1738, 0.78
1739, 0.25
1740, 0.53
1741, 0.71
1742, 0.60
1743, 0.51
1744, 0.78
1745, 0.50
1746, 0.54
1747, 0.22
1748, 0.31
1749, 0.22
1750, 0.22
1751, 0.37
1752, 0.43
1753, 0.22
1754, 0.78
1755, 0.31
1756, 0.22
1757, 0.42
1758, 0.62
1759, 0.74
1760, 0.22
1761, 0.30
1762, 0.78
1763, 0.22
1764, 0.22
1765, 0.65
1766, 0.22
1767, 0.26
1768, 0.67
1769, 0.44
1770, 0.59
1771, 0.22
1772, 0.51
1773, 0.22
1774, 0.29
1775, 0.22
1776, 0.30
1777, 0.74
1778, 0.27
1779, 0.22
1780, 0.22
1781, 0.23
1782, 0.59
1783, 0.65
1784, 0.78
1785, 0.59
1786, 0.68
1787, 0.31
1788, 0.30
1789, 0.22
1790, 0.78
1791, 0.28
1792, 0.31
1793, 0.74
1794, 0.75
1795, 0.22
1796, 0.55
1797, 0.25
1798, 0.50
1799, 0.41
1800, 0.39
1801, 0.22
1802, 0.63
1803, 0.60
1804, 0.35
1805, 0.22
1806, 0.22
1807, 0.34
1808, 0.72
1809, 0.41
1810, 0.48
1811, 0.66
1812, 0.57
1813, 0.24
1814, 0.66
1815, 0.42
1816, 0.31
1817, 0.24
1818, 0.68
1819, 0.24
1820, 0.43
1821, 0.31
1822, 0.22
1823, 0.35
1824, 0.22
1825, 0.42
1826, 0.25
1827, 0.78
1828, 0.22
1829, 0.35
1830, 0.23
1831, 0.56
1832, 0.28
1833, 0.25
1834, 0.39
1835, 0.25
1836, 0.74
1837, 0.63
1838, 0.23
1839, 0.24
1840, 0.25
1841, 0.23
1842, 0.37
1843, 0.25
1844, 0.64
1845, 0.34
1846, 0.67
1847, 0.22
1848, 0.75
1849, 0.25
1850, 0.66
1851, 0.22
1852, 0.29
1853, 0.22
1854, 0.29
1855, 0.67
1856, 0.34
1857, 0.37
1858, 0.22
1859, 0.74
1860, 0.57
1861, 0.25
1862, 0.22
1863, 0.74
1864, 0.71
1865, 0.22
1866, 0.42
1867, 0.24
1868, 0.35
1869, 0.34
1870, 0.41
1871, 0.67
1872, 0.22
